,Tweet,Bernie,Sentiment_Bernie,Trump,Sentiment_Trump,Clinton,Sentiment_Clinton,Cruz,Sentiment_Cruz,Sarcastic
0,Trump on the other hand goes all in on water boarding AND some. #GOPDebate,0,0,1,3,0,0,0,0,
1,"RT @wpjenna Donald Trump promises that he will not touch the 2nd amendment -- ""unless we're going to make it stronger.""",0,0,1,2,0,0,0,0,
2,"Trump 23%, Rubio 19%, Kasich & Bush 14%, Christie 10%, Cruz 9% #NHPrimary",0,0,1,2,0,0,1,2,
3,@realDonaldTrump Thank you for saying you won't use vulger language anymore. Talk about Sanders & Clinton. Take Cruz as VP. Mexican votes!!!,1,2,1,1,1,2,1,1,
4,"RT @SurfPHX Mr. Trump @realDonaldTrump tweeted 25 minutes ago. You all do realize, that our future President hardly sleeps. He's a Fighter and a Worker!",0,0,1,1,0,0,0,0,
5,"go, Bernie #DemDebate",1,1,0,0,0,0,0,0,
6,Sanders calls out Clinton on taking Foreign Policy advice from Warmonger Henry Kissinger https://t.co/xT5J4uh4m4 via @YouTube,1,2,0,0,1,3,0,0,
7,"Cruz, Rubio, and the Moral Bankruptcy of Progressive Identity Politics https://t.co/kSQstJXtKO via @NRO",0,0,0,0,0,0,1,3,
8,"RT @scarylawyerguy ""Who does Bernie Sanders listen to on foreign policy."" - A question Hillary had to raise b/c the media will not. #DemDebate",1,3,0,0,1,2,0,0,
9,Why Did U of California Fire Tenured Riverside Professor? / Ted Cruz and Higher Ed -- ... - https://t.co/zFxa4Q70wh,0,0,0,0,0,0,1,2,
10,"RT @froomkin And no, Bernie does not have a super PAC. Such bullshit. https://t.co/ses3IgROjK",1,1,0,0,0,0,0,0,
11,The list of Trump business fails is ripe for a chain email. https://t.co/CbI9x2nnsc,0,0,1,3,0,0,0,0,
12,RT @bernieashalsey don't vote for donald trump,0,0,1,3,0,0,0,0,
13,Sanders: It is too late for establishment politics #IowaCaucus,1,2,0,0,0,0,0,0,
14,"RT @BraddJaffy If Trump and Sanders win #IACaucus, ""that is an earthquake that I don't think we've quite comprehended yet,"" @ChuckTodd says @NBCNightlyNews",1,3,1,3,0,0,0,0,
15,@ATPJudge @tomwatson @TheBaxterBean @ThePlumLineGS Party kill? You must not be familiar with FDR. He would love Sanders' policy.,1,1,0,0,0,0,0,0,
16,"RT @Kinneas #ChangeAWordRuinASuperHero Thundar the Egalitarian,

S11E08 - Supreme Courting. With guest star, Bernie Sanders.",1,2,0,0,0,0,0,0,
17,"Trump goes bananas, channels Michael Moore and Ron Paul at SC debate.  What impact will that have? https://t.co/W2xbFK5d1o @AmericanThinker",0,0,1,3,0,0,0,0,
18,"Bill Clinton: ""It bothers me to be in an election where debate is impossible because if you disagree you're just part of the establishment.""",0,0,0,0,0,0,0,0,
19,"RT @Anomaly100 Ben Carson getting ready to debate Ted Cruz. 

#GOPDebate https://t.co/yZ96vsVxPc",0,0,0,0,0,0,1,2,
20,"RT @meanpIastic me: I hate bread.
Donald Trump: I hate bread
me: https://t.co/Qs1lxRdYba",0,0,1,2,0,0,0,0,
21,Bro fuck bernie and fuck hillary they're both fucking trash,1,3,0,0,1,3,0,0,
22,Soros gave Clinton superpac 6mm. All have millions. Really no fixing $ now. The problem isn't money it is why and how it is used,0,0,0,0,1,2,0,0,
23,Donald Trump says missing last weeks debate may have cost him Iowa. https://t.co/vQxYMegPzb,0,0,1,2,0,0,0,0,
24,RT @anissira How Tom Brady and Deflategate Explain Donald Trumps New... https://t.co/ydYafXyDkN #tombrady,0,0,1,2,0,0,0,0,
25,"#RT #Follow Viewer's Guide: Clinton, Sanders Clash Over Economic Divide - ABC News https://t.co/zOh7b4yMMk",1,2,0,0,1,2,0,0,
26,@VivaLaAmes @gvhorn1 They Only wish they had #Trump's success...,0,0,1,1,0,0,0,0,
27,Ted Cruz says he will filibuster Obamas Supreme Court nomination https://t.co/QK4V57dILl,0,0,0,0,0,0,1,2,
28,"RT @NoahShachtman ""Ted Cruz may have just lost the Republican porn vote.""

-- @swin24 

https://t.co/xuA7WELien",0,0,0,0,0,0,1,3,
29,It may be my belief that income inequality can't be solved in a presidential tenure that makes me so skeptical of Sanders. Idealism'ed out,1,3,0,0,0,0,0,0,
30,"RT @AlanNeff I'm going to vote for either Bernie or Hillary in 2016, so the presidential power of nominating federal judges remains in Democratic hands.",1,1,0,0,1,1,0,0,
31,"RT @HahnAmerica *MUST READ* With a Slur for Ted Cruz, Donald #Trump Further Splits Voters https://t.co/V13L1wQPAx",0,0,1,3,0,0,1,2,
32,RT @Eating RT if you think this mozzarella stick would be a better president than Donald Trump. https://t.co/xwXui5MeYr,0,0,1,3,0,0,0,0,
33,Media personalities attack Hillary Clintons voice during Iowa victory speech: https://t.co/vwwocGFupU https://t.co/1nGjEDKuWK,0,0,0,0,1,3,0,0,
34,@Bladesinger6640 Rubio fans attacking Cruz and his supporters based on character.,0,0,0,0,0,0,1,3,
35,"RT @ABC LIVE: Trump: ""We finished second and I want to tell you something...we're just honored."" https://t.co/oBb4UxngAh https://t.co/vzdT3pG9kp",0,0,1,2,0,0,0,0,
36,GOOD FOR BERNIE! Bernie Sanders Tells Berniebros To Knock It Off  We Dont Want That Crap https://t.co/GpAZzsraGH via @thinkprogress,1,1,0,0,0,0,0,0,
37,Oh boy. More sideline commentary from a former Clinton White House staffer and Clinton Foundation donor/member. Fantastic journalisming.,0,0,0,0,0,0,0,0,
38,"RT @realDonaldTrump Dr. Ben Carson blasted Ted Cruz for ""deceit and dirty tricks and lies.""",0,0,1,2,0,0,1,3,
39,@FoxNews @HillaryClinton @BarackObama what is Bernie going to do when the 1% are do longer here,1,3,0,0,1,2,0,0,
40,"@SteveDeaceShow just a symptom that ppl so despise the status quo in both parties, that they are favoring a socialist and whatever Trump is",1,2,1,2,0,0,0,0,
41,It seems @BernieSanders addressed the Bernie Bro issue in an interview with @EBONYMag. I stand corrected. https://t.co/dowytTrwLI,1,2,0,0,0,0,0,0,
42,"RT @NoahPollak @mckaycoppins Not Trump fan but he is no more insane than Soviet honeymooner Bernie. Why isn't ""how insane this all is"" a Bernie media meme?",1,3,1,3,0,0,0,0,
43,"Embattled UST coach Bong Dela Cruz breaks silence, says conscience is clear https://t.co/bP6CK0RRJm",0,0,0,0,0,0,0,0,
